epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
82,0.39744651317596436,0.8571428656578064,1.4785362482070923,0.6226415038108826,1.0533337593078613,0.7097792029380798,0.7097791798107256,0.7097791798107256,0.7097791798107257,0.5757488321218971,0.570257927974057,0.5531600842335868,0.6589361298834054,0.7097791798107256,0.6673931728609367,1,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
86,0.36008158326148987,0.8589743375778198,1.4266327619552612,0.6226415038108826,1.0996941328048706,0.7097792029380798,0.7097791798107256,0.7097791798107256,0.7097791798107257,0.5940513491085574,0.5853476702508961,0.5685794047633558,0.6607610794937998,0.7097791798107256,0.6674492610118535,1,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9391
97,0.3659107983112335,0.8626373410224915,1.5083935260772705,0.5943396091461182,1.0733675956726074,0.7097792029380798,0.7097791798107256,0.7097791798107256,0.7097791798107257,0.5965044555834028,0.5831023724185014,0.5687999915616871,0.668331745504666,0.7097791798107256,0.6711818542365741,1,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9391
79,0.3452956974506378,0.8626373410224915,1.4087828397750854,0.5849056839942932,1.060365080833435,0.7066246271133423,0.7066246056782335,0.7066246056782335,0.7066246056782335,0.5978106123895597,0.5845785597914629,0.5750886965848142,0.6620886589382355,0.7066246056782335,0.6706018825881732,1,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9391
65,0.33801305294036865,0.8699633479118347,1.4307854175567627,0.5943396091461182,1.0291820764541626,0.7066246271133423,0.7066246056782335,0.7066246056782335,0.7066246056782335,0.5718060223518772,0.5833355490387748,0.5585913839247171,0.6521400023063523,0.7066246056782335,0.6640135130671408,1,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9391
132,0.2966804504394531,0.877289354801178,1.4587972164154053,0.5660377144813538,1.1435260772705078,0.7034700512886047,0.7034700315457413,0.7034700315457413,0.7034700315457413,0.569406204906205,0.5831953886018403,0.5558446671607963,0.6622408742676881,0.7034700315457413,0.66440446768726,1,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9391
85,0.35551148653030396,0.8553113341331482,1.4494539499282837,0.5849056839942932,1.054883599281311,0.7034700512886047,0.7034700315457413,0.7034700315457413,0.7034700315457413,0.5863517239798589,0.5829605734767026,0.5590249667691269,0.6661258651195625,0.7034700315457413,0.6649172509015026,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9391
91,0.3262503743171692,0.8699633479118347,1.3854737281799316,0.5943396091461182,1.0402461290359497,0.7003154754638672,0.7003154574132492,0.7003154574132492,0.7003154574132492,0.5613951186209251,0.5675109373302921,0.547252857388232,0.6482073199687934,0.7003154574132492,0.6603830885331506,1,500,300,100,cosine,0.001,0.99,dicta-il/MsBERT,tfidf,9391
75,0.342473566532135,0.8626373410224915,1.4332399368286133,0.5849056839942932,1.0350561141967773,0.7003154754638672,0.7003154574132492,0.7003154574132492,0.7003154574132492,0.5862181843497632,0.5754008844202393,0.5564801454061112,0.6656838270755755,0.7003154574132492,0.6647380137601658,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9391
72,0.3461938202381134,0.8553113341331482,1.4394938945770264,0.5943396091461182,1.0851936340332031,0.6971608996391296,0.6971608832807571,0.6971608832807571,0.6971608832807571,0.5894797424797424,0.5906574500768048,0.5695405931061114,0.6647394141084992,0.6971608832807571,0.6668184611526571,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9391
