silhouette,jaccard,dasgupta,clustering_accuracy,epoch,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
0.27294302,0.2445721974191181,0.877327730256656,0.46632124352331605,249,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf,9313
0.18646234,0.09190668830696931,0.6883853296667689,0.2621761658031088,178,1,250,300,100,cosine,0.001,0.99,dicta-il/BEREL,starr,9313
0.25611702,0.19672751623140303,0.8617907348048945,0.41450777202072536,98,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,9313
0.20308132,0.09484536082474226,0.6753701655647172,0.2704663212435233,129,1,250,300,100,cosine,0.001,0.99,onlplab/alephbert-base,starr,9313
0.26430544,0.26299929276467515,0.8693845263362374,0.48911917098445595,222,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf,9313
0.2056025,0.10042644922442476,0.6911659767233677,0.2922279792746114,168,1,250,300,100,cosine,0.001,0.99,dicta-il/dictabert,starr,9313
0.2810479,0.2526886634372239,0.8645254124338653,0.46528497409326425,236,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,9313
0.18885985,0.09839319912186463,0.6949125409989353,0.2694300518134715,193,1,250,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,starr,9313
0.26572344,0.1816858349104673,0.8587556341038824,0.3917098445595855,103,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf,9313
0.21123707,0.09879180448364572,0.6732071418155694,0.27979274611398963,118,1,250,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,starr,9313
0.2597119,0.23857958600999285,0.8588437701354419,0.44766839378238343,227,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf,9313
0.19582535,0.09070118357146226,0.6882756070183427,0.26528497409326424,198,1,250,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,starr,9313
